"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME","DISSEMINATION","DIFFERENCE"
"IRB","IRB Infrastructure Developers Limited","Cintra INR Investments B V","11-JUN-2024 to 11-JUN-2024",,"301950000","1199642120","Reg29(2)","12-Jun-2024, 20-49","12-Jun-2024 20:51","00:02:02"
"ITDCEM","ITD Cementation India Limited","MASSACHUSETTS INSTITUTE OF TECHNOLOGY ALONG WITH PAC","11-JUN-2024 to 11-JUN-2024",,"250000","10172000","Reg29(2)","12-Jun-2024, 20-49","12-Jun-2024 20:49","00:00:57"
"RPPL","Rajshree Polypack Limited","Ramswaroop Radheshyam Thard alongwith PAC","11-JUN-2024 to 11-JUN-2024",,"25000","5841574","Reg29(2)","12-Jun-2024, 20-48","12-Jun-2024 20:49","00:01:53"
"USHAMART","Usha Martin Limited","Nidhi Rajgarhia","11-JUN-2024 to 11-JUN-2024",,"2000","269000","Reg29(2)","12-Jun-2024, 20-47","12-Jun-2024 20:47","00:00:48"
"TCNSBRANDS","TCNS Clothing Co. Limited","TA FDI Investors Ltd","11-JUN-2024 to 12-JUN-2024",,"1860000","8082539","Reg29(2)","12-Jun-2024, 19-40","12-Jun-2024 19:41","00:00:60"
"ROHLTD","Royal Orchid Hotels Limited","Mr. Chander k baljee","11-JUN-2024 to 11-JUN-2024","12149",,"10768744","Reg29(2)","12-Jun-2024, 19-39","12-Jun-2024 19:41","00:01:58"
"CIGNITITEC","Cigniti Technologies Limited","RAJASTHAN GLOBAL SECURITIES PRIVATE LIMITED","12-JUN-2024 to 12-JUN-2024","100779",,"1943331","Reg29(2)","12-Jun-2024, 19-39","12-Jun-2024 19:39","00:00:56"
"MWL","Mangalam Worldwide Limited","Omprakash Mangal","10-JUN-2024 to 11-JUN-2024",,"45600","411800","Reg29(2)","12-Jun-2024, 19-38","12-Jun-2024 19:39","00:01:47"
"AGARWALFT","Agarwal Float Glass India Limited","Uma Shankar Agarwal","11-JUN-2024 to 11-JUN-2024",,"39000","4817473","Reg29(2)","12-Jun-2024, 19-37","12-Jun-2024 19:37","00:00:47"
"MSPL","MSP Steel & Power Limited","Procheta Consultants Private ltd","06-JUN-2024 to 06-JUN-2024","11555000",,"11555000","Reg29(2)","12-Jun-2024, 19-36","12-Jun-2024 19:37","00:01:38"
"JSLL","Jeena Sikho Lifecare Limited","Mr. Manish Grover & Bhavna Grover","07-JUN-2024 to 07-JUN-2024",,"514440","16350408","Reg29(2)","12-Jun-2024, 19-35","12-Jun-2024 19:35","00:00:31"
"ACLGATI","Allcargo Gati Limited","Equity Intelligence India Pvt Ltd","10-JUN-2024 to 10-JUN-2024",,"877806","3776120","Reg29(2)","12-Jun-2024, 19-34","12-Jun-2024 19:35","00:01:25"
"NCLIND","NCL Industries Limited","NCL Buildtek ltd","10-JUN-2024 to 10-JUN-2024","438744",,"438744","Reg29(2)","12-Jun-2024, 19-33","12-Jun-2024 19:33","00:00:18"
"JASH","Jash Engineering Limited","Rhutvik Patel","10-JUN-2024 to 11-JUN-2024",,"1795","16963","Reg29(2)","12-Jun-2024, 16-35","12-Jun-2024 16:35","00:00:34"
"USHAMART","Usha Martin Limited","Peterhouse Investments India Ltd","11-JUN-2024 to 11-JUN-2024",,"200000","13916529","Reg29(2)","12-Jun-2024, 16-34","12-Jun-2024 16:35","00:01:26"
"BAJAJELEC","Bajaj Electricals Limited","Norges Bank","04-JUN-2024 to 04-JUN-2024",,"82000","3772939","Reg29(2)","12-Jun-2024, 16-33","12-Jun-2024 16:33","00:00:24"
"MPHASIS","MphasiS Limited","DB International Trust Limited","10-JUN-2024 to 10-JUN-2024",,"28500000","76382441","Reg29(2)","12-Jun-2024, 16-32","12-Jun-2024 16:33","00:01:12"
"BCLIND","Bcl Industries Limited","Sara Garg","04-JUN-2024 to 04-JUN-2024","4000000",,"6000000","Reg29(2)","12-Jun-2024, 16-31","12-Jun-2024 16:31","00:00:10"
"STEELCITY","Steel City Securities Limited","Kamireddi Satyanarayana","10-JUN-2024 to 10-JUN-2024","2000",,"1256446","Reg29(2)","12-Jun-2024, 16-30","12-Jun-2024 16:31","00:01:05"
"ADVENZYMES","Advanced Enzyme Technologies Limited","Advanced Vital Enzymes Private Limited","10-JUN-2024 to 10-JUN-2024",,"77000","355600","Reg29(2)","12-Jun-2024, 16-29","12-Jun-2024 16:29","00:00:08"
"KCEIL","Kay Cee Energy & Infra Limited","Priyanshu Jain","10-JUN-2024 to 10-JUN-2024","500",,"8000","Reg29(2)","12-Jun-2024, 16-28","12-Jun-2024 16:29","00:00:59"
"NCLIND","NCL Industries Limited","Penmetsa Narasimha Raju","14-MAY-2024 to 14-MAY-2024",,"30000","785010","Reg29(2)","12-Jun-2024, 16-28","12-Jun-2024 16:29","00:01:51"
"VAISHALI","Vaishali Pharma Limited","JAGRUTI ATUL VASANI","07-JUN-2024 to 07-JUN-2024","200000",,"679992","Reg29(2)","12-Jun-2024, 16-27","12-Jun-2024 16:27","00:00:49"
"INDIGO","InterGlobe Aviation Limited","InterGlobe Enterprises Private Limited alongwith PAC","11-JUN-2024 to 11-JUN-2024",,"7719573","137987201","Reg29(2)","12-Jun-2024, 16-26","12-Jun-2024 16:27","00:01:40"
"GRMOVER","GRM Overseas Limited","Atul Garg alongwith PAC","10-JUN-2024 to 10-JUN-2024","73000",,"43371984","Reg29(2)","12-Jun-2024, 16-25","12-Jun-2024 16:25","00:00:37"
"LUMAXTECH","Lumax Auto Technologies Limited","DSP Trustee Private Limited on behalf of schemes of DSP Mutual Fund (Buyer)","07-JUN-2024 to 07-JUN-2024","41514",,"6418378","Reg29(2)","12-Jun-2024, 16-24","12-Jun-2024 16:25","00:01:32"
"KCEIL","Kay Cee Energy & Infra Limited","PRJYANSHU JAIN","10-JUN-2024 to 10-JUN-2024","500",,"8000","Reg29(2)","11-Jun-2024, 20-16","11-Jun-2024 20:17","00:01:21"
"KCEIL","Kay Cee Energy & Infra Limited","Khushboo Gandhi","10-JUN-2024 to 10-JUN-2024","500",,"500","Reg29(2)","11-Jun-2024, 20-15","11-Jun-2024 20:15","00:00:16"
"SKIL","SKIL Infrastructure Limited","Dilip Madhavji Thakkar","10-JUN-2024 to 10-JUN-2024","111006",,"16834129","Reg29(2)","11-Jun-2024, 20-14","11-Jun-2024 20:15","00:01:14"
"INDIGO","InterGlobe Aviation Limited","InterGlobe Enterprises Pvt Ltd","11-JUN-2024 to 11-JUN-2024",,"7719573","137987201","Reg29(2)","11-Jun-2024, 20-13","11-Jun-2024 20:13","00:00:10"
"NIBL","NRB Industrial Bearings Limited","Jasmine Sahney","11-JUN-2024 to 11-JUN-2024",,"2000","241447","Reg29(2)","11-Jun-2024, 20-12","11-Jun-2024 20:13","00:01:01"
"NIBL","NRB Industrial Bearings Limited","Anjana Milind Thakker","11-JUN-2024 to 11-JUN-2024",,"2000","303506","Reg29(2)","11-Jun-2024, 20-11","11-Jun-2024 20:13","00:01:56"
"JSLL","Jeena Sikho Lifecare Limited","Mr. Manish Grover & Bhavna Grover","07-JUN-2024 to 07-JUN-2024",,"514440","16350408","Reg29(2)","11-Jun-2024, 20-10","11-Jun-2024 20:11","00:00:57"
"RPPL","Rajshree Polypack Limited","Ramswaroop Radheshyam Thard alongwith PAC","10-JUN-2024 to 10-JUN-2024",,"75000","5866574","Reg29(2)","11-Jun-2024, 20-10","11-Jun-2024 20:11","00:01:48"
"AKSHOPTFBR","Aksh Optifibre Limited","Dr. Kailash Shantilal  Choudhari","07-JUN-2024 to 10-JUN-2024",,"246159","17061232","Reg29(2)","11-Jun-2024, 20-09","11-Jun-2024 20:09","00:00:47"
"ASHOKAMET","Ashoka Metcast Limited","Aarem Insights Private Ltd","06-JUN-2024 to 11-JUN-2024",,"953478","681200","Reg29(2)","11-Jun-2024, 20-08","11-Jun-2024 20:09","00:01:42"
"RPPL","Rajshree Polypack Limited","Naresh Radheshyam Thard.","07-JUN-2024 to 10-JUN-2024",,"75000","4788589","Reg29(2)","11-Jun-2024, 20-07","11-Jun-2024 20:07","00:00:42"
"MTARTECH","Mtar Technologies Limited","Mitta Madhavi","10-JUN-2024 to 10-JUN-2024","225000",,"1430983","Reg29(2)","11-Jun-2024, 20-06","11-Jun-2024 20:07","00:01:35"
"SPYL","Shekhawati Poly-Yarn Limited","SKI Buildcon Private Limited","11-JUN-2024 to 11-JUN-2024","266217",,"34000000","Reg29(2)","11-Jun-2024, 17-07","11-Jun-2024 17:07","00:00:41"
"AGARWALFT","Agarwal Float Glass India Limited","Uma Shankar Agarwal","10-JUN-2024 to 10-JUN-2024",,"39000","4856473","Reg29(2)","11-Jun-2024, 17-06","11-Jun-2024 17:07","00:01:36"
"PASHUPATI","Pashupati Cotspin Limited","Pashupati Texspin Export LLp","10-JUN-2024 to 10-JUN-2024",,"68800","884000","Reg29(2)","11-Jun-2024, 17-05","11-Jun-2024 17:05","00:00:33"
"RPPL","Rajshree Polypack Limited","Naresh Radheshyam Thard along with pac","10-JUN-2024 to 10-JUN-2024",,"75000","4788589","Reg29(2)","11-Jun-2024, 17-04","11-Jun-2024 17:05","00:01:24"
"JASH","Jash Engineering Limited","Girish Patel","07-JUN-2024 to 07-JUN-2024",,"5000","396603","Reg29(2)","11-Jun-2024, 17-03","11-Jun-2024 17:03","00:00:24"
"KCEIL","Kay Cee Energy & Infra Limited","Lokendra Jain","10-JUN-2024 to 10-JUN-2024","11000",,"7572000","Reg29(2)","11-Jun-2024, 17-02","11-Jun-2024 17:03","00:01:18"
"MTARTECH","Mtar Technologies Limited","K Shalini","10-JUN-2024 to 10-JUN-2024",,"450000","305483","Reg29(2)","11-Jun-2024, 17-01","11-Jun-2024 17:01","00:00:17"
"MTARTECH","Mtar Technologies Limited","A Manogna","10-JUN-2024 to 10-JUN-2024","225000",,"1411889","Reg29(2)","11-Jun-2024, 17-00","11-Jun-2024 17:01","00:01:08"
"PASHUPATI","Pashupati Cotspin Limited","Pashupati Texspin Export LLp","07-JUN-2024 to 07-JUN-2024",,"69600","952800","Reg29(2)","11-Jun-2024, 16-59","11-Jun-2024 17:01","00:02:00"
"KANANIIND","Kanani Industries Limited","Mr. Harshil Premjibhai Kanani","10-JUN-2024 to 10-JUN-2024",,"4800000","106516554","Reg29(2)","11-Jun-2024, 16-59","11-Jun-2024 16:59","00:00:48"
"LAURUSLABS","Laurus Labs Limited","Mirae Assete Mutual Fund","05-JUN-2024 to 05-JUN-2024","424675",,"27399507","Reg29(1)","11-Jun-2024, 16-20","11-Jun-2024 16:21","00:01:16"
"SALZERELEC","Salzer Electronics Limited","D Rajeshkumar","28-MAY-2024 to 28-MAY-2024","300000",,"6786791","Reg29(2)","11-Jun-2024, 16-15","11-Jun-2024 16:15","00:00:38"
"HOMEFIRST","Home First Finance Company India Limited","Funds under the management of FMR LLC and its direct and indirect subsidiaries and  FIL Limited and its direct and indirect subsidiaries","04-JUN-2024 to 04-JUN-2024","11487",,"4433770","Reg29(1)","11-Jun-2024, 16-11","11-Jun-2024 16:13","00:01:58"
"BTML","Bodhi Tree Multimedia Limited","Mr. Mautik Ajit Tolia","05-JUN-2024 to 05-JUN-2024","500",,"44010250","Reg29(2)","11-Jun-2024, 16-05","11-Jun-2024 16:05","00:00:36"
"GOKUL","Gokul Refoils and Solvent Limited","Arjunsinh Rajput","03-JUN-2024 to 03-JUN-2024","160438",,"1360869","Reg29(1)","11-Jun-2024, 16-03","11-Jun-2024 16:03","00:00:40"
"INDOCO","Indoco Remedies Limited","Ms. Aditi M Panandikar","31-MAY-2024 to 31-MAY-2024","9200",,"5601200","Reg29(2)","11-Jun-2024, 15-05","11-Jun-2024 15:05","00:00:22"
"GHCL","GHCL Limited","Neelabh Dalmia","04-JUN-2024 to 04-JUN-2024","501",,"122201","Reg29(2)","11-Jun-2024, 15-01","11-Jun-2024 15:01","00:00:54"
"SBCL","Shivalik Bimetal Controls Limited","TSL Holdings Private Ltd","04-JUN-2024 to 04-JUN-2024","4000",,"3379400","Reg29(2)","11-Jun-2024, 14-51","11-Jun-2024 14:51","00:00:09"
"SBCL","Shivalik Bimetal Controls Limited","TSL Holdings Private Ltd","03-JUN-2024 to 03-JUN-2024","4800",,"3375400","Reg29(2)","11-Jun-2024, 14-44","11-Jun-2024 14:45","00:01:53"
"SNOWMAN","Snowman Logistics Limited","Gateway Distriparks Ltd","05-JUN-2024 to 05-JUN-2024","562081",,"76675326","Reg29(2)","11-Jun-2024, 14-39","11-Jun-2024 14:39","00:00:50"
"GOKUL","Gokul Refoils and Solvent Limited","Arjunsinh Rajput","03-JUN-2024 to 03-JUN-2024","160438",,"1360869","Reg29(2)","11-Jun-2024, 14-36","11-Jun-2024 14:37","00:01:38"
"SHRENIK","Shrenik Limited","Shrenik Vimawala","21-MAY-2024 to 22-MAY-2024",,"400000","186382762","Reg29(2)","11-Jun-2024, 14-33","11-Jun-2024 14:33","00:00:26"
"OMAXE","Omaxe Limited","Vistra ITCl ( India) Ltd","04-JUN-2024 to 04-JUN-2024",,"14942000","685000","Reg29(2)","11-Jun-2024, 14-30","11-Jun-2024 14:31","00:00:57"
"SPYL","Shekhawati Poly-Yarn Limited","Mukesh Ramniranjan Ruia","01-JUN-2024 to 01-JUN-2024","0",,"198254255","Reg29(2)","11-Jun-2024, 14-28","11-Jun-2024 14:29","00:01:51"
"RELIGARE","Religare Enterprises Limited","Plutus Wealth Management LLP","26-DEC-2023 to 03-JUN-2024","500","8376545","14623955","Reg29(2)","11-Jun-2024, 14-24","11-Jun-2024 14:25","00:01:28"
"MTARTECH","Mtar Technologies Limited","P Leelavathi Reddy","08-JUN-2024 to 08-JUN-2024","200000",,"921712","Reg29(2)","11-Jun-2024, 12-53","11-Jun-2024 12:53","00:00:39"
"SEPC","SEPC Limited","SBICAP  Trustee Company Ltd","07-JUN-2024 to 07-JUN-2024",,"37656904","1372156729","Reg29(2)","11-Jun-2024, 12-52","11-Jun-2024 12:53","00:01:20"
"MTARTECH","Mtar Technologies Limited","P Leelavathi Reddy","08-JUN-2024 to 08-JUN-2024","100000",,"1021712","Reg29(2)","11-Jun-2024, 12-51","11-Jun-2024 12:51","00:00:11"
"SUULD","Suumaya Industries Limited","Ushik Mahesh Gala","06-JUN-2024 to 07-JUN-2024",,"7958652","1738680","Reg29(2)","11-Jun-2024, 12-51","11-Jun-2024 12:51","00:00:56"
"MSPL","MSP Steel & Power Limited","Procheta Consultants Private ltd","06-JUN-2024 to 06-JUN-2024","11555000",,"11555000","Reg29(2)","11-Jun-2024, 12-50","11-Jun-2024 12:51","00:01:45"
"SUDARSCHEM","Sudarshan Chemical Industries Limited","HDFC Mutual Fund","07-JUN-2024 to 07-JUN-2024","1168345",,"4291859","Reg29(1)","11-Jun-2024, 12-49","11-Jun-2024 12:49","00:00:38"
"MTARTECH","Mtar Technologies Limited","P Kalpana Reddy","08-JUN-2024 to 08-JUN-2024",,"100000","874000","Reg29(2)","11-Jun-2024, 12-48","11-Jun-2024 12:49","00:01:30"
"NIBL","NRB Industrial Bearings Limited","Jasmine Sahney","10-JUN-2024 to 10-JUN-2024",,"3000","243447","Reg29(2)","10-Jun-2024, 19-54","10-Jun-2024 19:55","00:01:08"
"STEELCITY","Steel City Securities Limited","Dr. PYLA MADHU","06-JUN-2024 to 10-JUN-2024","3145",,"68897","Reg29(2)","10-Jun-2024, 19-53","10-Jun-2024 19:55","00:01:57"
"RPPL","Rajshree Polypack Limited","Naresh Radheshyam Thard along with pac","07-JUN-2024 to 07-JUN-2024",,"50000","4863589","Reg29(2)","10-Jun-2024, 19-53","10-Jun-2024 19:53","00:00:55"
"GOODLUCK","Goodluck India Limited","M CGarg and Sons HUF","07-JUN-2024 to 07-JUN-2024","0",,"18762539","Reg29(2)","10-Jun-2024, 19-52","10-Jun-2024 19:53","00:01:48"
"NIBL","NRB Industrial Bearings Limited","Anjana Milind Thakker","10-JUN-2024 to 10-JUN-2024",,"3000","305506","Reg29(2)","10-Jun-2024, 19-51","10-Jun-2024 19:51","00:00:45"
"SPYL","Shekhawati Poly-Yarn Limited","SKI Buildcon Private Limited","10-JUN-2024 to 10-JUN-2024","15012",,"33733783","Reg29(2)","10-Jun-2024, 19-50","10-Jun-2024 19:51","00:01:41"
"SHUBHLAXMI","Shubhlaxmi Jewel Art Limited","Soham Narendrasinh Chauhan","07-JUN-2024 to 07-JUN-2024",,"55000","1014000","Reg29(2)","10-Jun-2024, 19-49","10-Jun-2024 19:49","00:00:38"
"AUROPHARMA","Aurobindo Pharma Limited","Kirthi Reddy Kambam","07-JUN-2024 to 07-JUN-2024",,"200000","20250000","Reg29(2)","10-Jun-2024, 19-48","10-Jun-2024 19:49","00:01:31"
"BAJAJELEC","Bajaj Electricals Limited","Norges Bank","04-JUN-2024 to 04-JUN-2024",,"82000","3772939","Reg29(2)","10-Jun-2024, 19-47","10-Jun-2024 19:47","00:00:29"
"SPYL","Shekhawati Poly-Yarn Limited","SKI Buildcon Private Limited","07-JUN-2024 to 07-JUN-2024","718771",,"33718771","Reg29(1)","10-Jun-2024, 19-46","10-Jun-2024 19:47","00:01:24"
"GHCLTEXTIL","Ghcl Textiles Limited","Neelabh Dalmia","04-JUN-2024 to 04-JUN-2024","501",,"168651","Reg29(2)","10-Jun-2024, 19-45","10-Jun-2024 19:45","00:00:20"
"RELIGARE","Religare Enterprises Limited","Plutus Wealth Management LLP","27-DEC-2023 to 03-JUN-2024",,"7550291","15450209","Reg29(2)","10-Jun-2024, 19-44","10-Jun-2024 19:45","00:01:12"
"APLAPOLLO","APL Apollo Tubes Limited","Sanjay Gupta","19-MAY-2024 to 07-JUN-2024",,"345465","4535","Reg29(2)","10-Jun-2024, 17-23","10-Jun-2024 17:23","00:00:38"
"SEAMECLTD","Seamec Limited","Hal Offshore Limited","06-JUN-2024 to 06-JUN-2024","10000",,"17885694","Reg29(2)","10-Jun-2024, 17-22","10-Jun-2024 17:23","00:01:36"
"KCEIL","Kay Cee Energy & Infra Limited","Lokendra Jain","07-JUN-2024 to 07-JUN-2024","5000",,"7561000","Reg29(2)","10-Jun-2024, 17-21","10-Jun-2024 17:21","00:00:36"
"IMFA","Indian Metals & Ferro Alloys Limited","Fox Consulting Services Pte Ltd","05-JUN-2024 to 05-JUN-2024",,"8916","12987","Reg29(2)","10-Jun-2024, 17-20","10-Jun-2024 17:21","00:01:33"
"AIIL","Authum Investment & Infrastructure Limited","Mentor Capital Limited","06-JUN-2024 to 06-JUN-2024","396873",,"16390936","Reg29(2)","10-Jun-2024, 17-19","10-Jun-2024 17:19","00:00:30"
"HERITGFOOD","Heritage Foods Limited","DSP Trustee Private Ltd on behalf of Scheme of DSP Mutual Fund","04-JUN-2024 to 04-JUN-2024",,"1035068","2508278","Reg29(2)","10-Jun-2024, 17-18","10-Jun-2024 17:19","00:01:22"
"SENCO","Senco Gold Limited","Mrs. Suvankar Sen","05-JUN-2024 to 05-JUN-2024","1130",,"11893458","Reg29(2)","10-Jun-2024, 17-17","10-Jun-2024 17:17","00:00:20"
"REMUS","Remus Pharmaceuticals Limited","Dhruvalben V. Shah","03-JUN-2024 to 03-JUN-2024",,"375","0","Reg29(2)","10-Jun-2024, 17-16","10-Jun-2024 17:17","00:01:14"
"PONNIERODE","Ponni Sugars (Erode) Limited","Gothic Corporation","06-JUN-2024 to 06-JUN-2024",,"273000","266450","Reg29(2)","10-Jun-2024, 17-15","10-Jun-2024 17:15","00:00:15"
"VMART","V-Mart Retail Limited","ICICI Prudential Mutual Fund","17-DEC-2021 to 06-JUN-2024",,"453006","551904","Reg29(2)","10-Jun-2024, 17-14","10-Jun-2024 17:15","00:01:12"
"INFOBEAN","InfoBeans Techno. Ltd.","Priyansh Jain","06-JUN-2024 to 06-JUN-2024","1700000",,"1700000","Reg29(1)","10-Jun-2024, 17-13","10-Jun-2024 17:13","00:00:14"
"GOKUL","Gokul Refoils and Solvent Limited","Arjunsinh Rajput","06-JUN-2024 to 06-JUN-2024","300000",,"2800431","Reg29(2)","10-Jun-2024, 17-12","10-Jun-2024 17:13","00:01:07"
"SEAMECLTD","Seamec Limited","Hal Offshore Limited","07-JUN-2024 to 07-JUN-2024","4000",,"17889694","Reg29(2)","10-Jun-2024, 17-11","10-Jun-2024 17:11","00:00:07"
"SUDARSCHEM","Sudarshan Chemical Industries Limited","Ajay B Rathi","07-JUN-2024 to 07-JUN-2024",,"1175325","0","Reg29(2)","10-Jun-2024, 17-10","10-Jun-2024 17:11","00:00:59"
